time_s,mean_moisture,cumulative_loss,residual
1294.0,2.35578756696546,0.19421243303453808,-1.3322676295501878e-15
1295.0,2.355659367205297,0.19434063279470334,4.440892098500626e-16
1296.0,2.3555311898919826,0.19446881010801745,4.440892098500626e-16
1297.0,2.355403035012949,0.1945969649870501,-8.881784197001252e-16
1298.0,2.3552749025556463,0.1947250974443538,4.440892098500626e-16
1299.0,2.355146792507524,0.19485320749247684,8.881784197001252e-16
1300.0,2.3550187048560605,0.19498129514393878,-4.440892098500626e-16
1301.0,2.3548906395887577,0.19510936041124208,0.0
1302.0,2.3547625966931256,0.19523740330687475,4.440892098500626e-16
1303.0,2.354634576156691,0.19536542384330863,0.0
1304.0,2.3545065779669816,0.19549342203301914,8.881784197001252e-16
1305.0,2.3543786021115616,0.19562139788843871,4.440892098500626e-16
1306.0,2.354250648578006,0.1957493514219932,-8.881784197001252e-16
1307.0,2.354122717353907,0.19587728264609233,-4.440892098500626e-16
1308.0,2.353994808426868,0.1960051915731331,8.881784197001252e-16
1309.0,2.353866921784494,0.19613307821550585,0.0
1310.0,2.3537390574144306,0.19626094258556875,-4.440892098500626e-16
1311.0,2.35361121530433,0.19638878469567073,8.881784197001252e-16
1312.0,2.3534833954418546,0.1965166045581449,-4.440892098500626e-16
1313.0,2.3533555978146854,0.19664440218531337,-8.881784197001252e-16
1314.0,2.3532278224105165,0.1967721775894836,4.440892098500626e-16
1315.0,2.353100069217059,0.19689993078294055,0.0
1316.0,2.352972338222042,0.1970276617779571,-4.440892098500626e-16
1317.0,2.352844629413209,0.19715537058679064,-4.440892098500626e-16
1318.0,2.352716942778314,0.19728305722168527,-4.440892098500626e-16
1319.0,2.3525892783051274,0.19741072169487178,-4.440892098500626e-16
1320.0,2.352461635982047,0.1975383640179534,4.440892098500626e-16
1321.0,2.3523340159798187,0.19766598402018076,-4.440892098500626e-16
1322.0,2.3522064184715545,0.19779358152844467,-4.440892098500626e-16
1323.0,2.3520788434427673,0.19792115655723302,4.440892098500626e-16
1324.0,2.3519512908789793,0.19804870912102,-4.440892098500626e-16
1325.0,2.351823760766743,0.19817623923325678,0.0
1326.0,2.3516962530927654,0.19830374690723424,0.0
1327.0,2.3515687678438284,0.1984312321561709,-4.440892098500626e-16
1328.0,2.3514413050068246,0.1985586949931748,-4.440892098500626e-16
1329.0,2.351313864568751,0.19868613543124972,8.881784197001252e-16
1330.0,2.3511864465166683,0.19881355348333163,0.0
1331.0,2.351059050837709,0.1989409491622902,-8.881784197001252e-16
1332.0,2.350931677519069,0.19906832248093045,-4.440892098500626e-16
1333.0,2.3508043265479803,0.1991956734520188,-8.881784197001252e-16
1334.0,2.350676997911726,0.19932300208827464,8.881784197001252e-16
1335.0,2.3505496915976263,0.1994503084023729,-4.440892098500626e-16
1336.0,2.35042240759305,0.19957759240695094,8.881784197001252e-16
1337.0,2.35029514588539,0.19970485411460903,-8.881784197001252e-16
1338.0,2.3501679064620973,0.19983209353790174,-8.881784197001252e-16
1339.0,2.35004068931063,0.19995931068937012,0.0
1340.0,2.349913494418502,0.20008650558149918,1.3322676295501878e-15
1341.0,2.349786321773236,0.20021367822676336,-4.440892098500626e-16
1342.0,2.3496591713623993,0.2003408286376012,8.881784197001252e-16
1343.0,2.349532043173579,0.20046795682642018,-8.881784197001252e-16
1344.0,2.349404937194387,0.20059506280561254,-4.440892098500626e-16
1345.0,2.349277853412469,0.20072214658753074,0.0
1346.0,2.349150791815485,0.2008492081845148,0.0
1347.0,2.3490237523911297,0.2009762476088695,-4.440892098500626e-16
1348.0,2.3488967351271133,0.2011032648728861,-4.440892098500626e-16
1349.0,2.348769740011175,0.20123025998882443,-4.440892098500626e-16
1350.0,2.348642767031083,0.20135723296891753,8.881784197001252e-16
1351.0,2.3485158161746154,0.20148418382538558,8.881784197001252e-16
1352.0,2.348388887429572,0.20161111257042832,4.440892098500626e-16
1353.0,2.3482619807837897,0.2017380192162097,-4.440892098500626e-16
1354.0,2.34813509622512,0.2018649037748807,8.881784197001252e-16
1355.0,2.3480082337414143,0.20199176625858523,-4.440892098500626e-16
1356.0,2.3478813933205744,0.20211860667942483,-4.440892098500626e-16
1357.0,2.3477545749505127,0.20224542504948717,0.0
1358.0,2.3476277786191444,0.2023722213808564,8.881784197001252e-16
1359.0,2.347501004314422,0.20249899568557736,-4.440892098500626e-16
1360.0,2.3473742520243195,0.20262574797568053,0.0
1361.0,2.347247521736814,0.20275247826318563,0.0
1362.0,2.347120813439914,0.20287918656008672,8.881784197001252e-16
1363.0,2.346994127121642,0.2030058728783575,0.0
1364.0,2.3468674627700388,0.20313253722996108,0.0
