time_s,mean_moisture,cumulative_loss_trapezoid,B_trapezoid_signed,B_trapezoid_abs,q2_mass_balance_residual,cumulative_loss_gl4,B_gl4_signed,B_gl4_abs,cumulative_loss_gl8,B_gl8_signed,B_gl8_abs,cumulative_loss_gl16,B_gl16_signed,B_gl16_abs,cumulative_loss_gl32,B_gl32_signed,B_gl32_abs
8781,1.5470396585990684,0.00020059216902682388,5.037331893831265e-07,5.037331893831265e-07,5.037331893831265e-07,0.00020059206827827632,-9.550138457825597e-12,9.550138457825597e-12,0.00020059206827827632,-9.550138457825597e-12,9.550138457825597e-12,0.00020059206827827635,-9.550138457825597e-12,9.550138457825597e-12,0.00020059206827827635,-9.550138457825597e-12,9.550138457825597e-12
8782,1.546953211478433,0.00020060945845095597,5.037332142521223e-07,5.037332142521223e-07,5.037332142521223e-07,0.0002006093577024037,-9.548806190196046e-12,9.548806190196046e-12,0.0002006093577024037,-9.548806190196046e-12,9.548806190196046e-12,0.00020060935770240372,-9.548362100986196e-12,9.548362100986196e-12,0.00020060935770240372,-9.548362100986196e-12,9.548362100986196e-12
8783,1.5468667688659892,0.00020062674697344984,5.037332395652072e-07,5.037332395652072e-07,5.037332395652072e-07,0.0002006266462248926,-9.548362100986196e-12,9.548362100986196e-12,0.0002006266462248926,-9.548362100986196e-12,9.548362100986196e-12,0.00020062664622489263,-9.547918011776346e-12,9.547918011776346e-12,0.00020062664622489263,-9.547918011776346e-12,9.547918011776346e-12
8784,1.5467803307614403,0.00020064403459436487,5.037332662105598e-07,5.037332662105598e-07,5.037332662105598e-07,0.0002006439338458025,-9.547473922566496e-12,9.547473922566496e-12,0.0002006439338458025,-9.547473922566496e-12,9.547473922566496e-12,0.00020064393384580252,-9.547473922566496e-12,9.547473922566496e-12,0.00020064393384580252,-9.547473922566496e-12,9.547473922566496e-12
8785,1.5466938971644808,0.00020066132131376274,5.0373329418818e-07,5.0373329418818e-07,5.0373329418818e-07,0.00020066122056519502,-9.544365298097546e-12,9.544365298097546e-12,0.00020066122056519502,-9.544365298097546e-12,9.544365298097546e-12,0.00020066122056519505,-9.544365298097546e-12,9.544365298097546e-12,0.00020066122056519505,-9.544365298097546e-12,9.544365298097546e-12
8786,1.5466074680747894,0.00020067860713170716,5.037333270507816e-07,5.037333270507816e-07,5.037333270507816e-07,0.00020067850638313397,-9.541256673628595e-12,9.541256673628595e-12,0.00020067850638313397,-9.541256673628595e-12,9.541256673628595e-12,0.000200678506383134,-9.540812584418745e-12,9.540812584418745e-12,0.000200678506383134,-9.540812584418745e-12,9.540812584418745e-12
8787,1.546521043492038,0.00020069589204826376,5.037333568047586e-07,5.037333568047586e-07,5.037333568047586e-07,0.00020069579129968496,-9.537703959949795e-12,9.537703959949795e-12,0.00020069579129968496,-9.537703959949795e-12,9.537703959949795e-12,0.00020069579129968499,-9.537703959949795e-12,9.537703959949795e-12,0.00020069579129968499,-9.537703959949795e-12,9.537703959949795e-12
8788,1.5464346234158908,0.0002007131760635,5.03733391443717e-07,5.03733391443717e-07,5.03733391443717e-07,0.00020071307531491542,-9.532374889431594e-12,9.532374889431594e-12,0.00020071307531491542,-9.532374889431594e-12,9.532374889431594e-12,0.00020071307531491545,-9.532374889431594e-12,9.532374889431594e-12,0.00020071307531491545,-9.532374889431594e-12,9.532374889431594e-12
8789,1.5463482078459971,0.00020073045917748497,5.037334225299617e-07,5.037334225299617e-07,5.037334225299617e-07,0.0002007303584288945,-9.530598532592194e-12,9.530598532592194e-12,0.0002007303584288945,-9.530598532592194e-12,9.530598532592194e-12,0.00020073035842889454,-9.530598532592194e-12,9.530598532592194e-12,0.00020073035842889454,-9.530598532592194e-12,9.530598532592194e-12
8790,1.5462617967820098,0.00020074774139028934,5.0373345716892e-07,5.0373345716892e-07,5.0373345716892e-07,0.00020074764064169286,-9.526157640493693e-12,9.526157640493693e-12,0.00020074764064169286,-9.526157640493693e-12,9.526157640493693e-12,0.0002007476406416929,-9.526157640493693e-12,9.526157640493693e-12,0.0002007476406416929,-9.526157640493693e-12,9.526157640493693e-12
8791,1.5461753902235638,0.00020076502270198525,5.037334900315216e-07,5.037334900315216e-07,5.037334900315216e-07,0.00020076492195338265,-9.523493105234593e-12,9.523493105234593e-12,0.00020076492195338265,-9.523493105234593e-12,9.523493105234593e-12,0.00020076492195338267,-9.523493105234593e-12,9.523493105234593e-12,0.00020076492195338267,-9.523493105234593e-12,9.523493105234593e-12
8792,1.5460889881702913,0.00020078230311264625,5.037335228941231e-07,5.037335228941231e-07,5.037335228941231e-07,0.0002007822023640374,-9.521716748395193e-12,9.521716748395193e-12,0.0002007822023640374,-9.521716748395193e-12,9.521716748395193e-12,0.00020078220236403744,-9.521716748395193e-12,9.521716748395193e-12,0.00020078220236403744,-9.521716748395193e-12,9.521716748395193e-12
8793,1.5460025906218207,0.00020079958262234714,5.037335575330815e-07,5.037335575330815e-07,5.037335575330815e-07,0.00020079948187373196,-9.519940391555792e-12,9.519940391555792e-12,0.00020079948187373196,-9.519940391555792e-12,9.519940391555792e-12,0.00020079948187373198,-9.519940391555792e-12,9.519940391555792e-12,0.00020079948187373198,-9.519940391555792e-12,9.519940391555792e-12
8794,1.5459161975777687,0.00020081686123116403,5.037335886193262e-07,5.037335886193262e-07,5.037335886193262e-07,0.00020081676048254243,-9.519496302345942e-12,9.519496302345942e-12,0.00020081676048254243,-9.519496302345942e-12,9.519496302345942e-12,0.00020081676048254245,-9.519052213136092e-12,9.519052213136092e-12,0.00020081676048254245,-9.519052213136092e-12,9.519052213136092e-12
