time_s,temperature_C,moisture_kg_per_kg
533.0,32.65895,0.023709333333333332
534.0,32.6691,0.023718
535.0,32.679249999999996,0.023726666666666667
536.0,32.6894,0.023735333333333334
537.0,32.699549999999995,0.023744
538.0,32.7097,0.023752666666666665
539.0,32.719849999999994,0.023761333333333332
540.0,32.73,0.02377
541.0,32.73786666666666,0.0237785
542.0,32.745733333333334,0.023787
543.0,32.7536,0.0237955
544.0,32.761466666666664,0.023804
545.0,32.76933333333333,0.0238125
546.0,32.77719999999999,0.023821
547.0,32.785066666666665,0.0238295
548.0,32.79293333333333,0.023837999999999998
549.0,32.800799999999995,0.0238465
550.0,32.80866666666667,0.023855
551.0,32.81653333333333,0.0238635
552.0,32.8244,0.023872
553.0,32.83226666666666,0.0238805
554.0,32.84013333333333,0.023889
555.0,32.848,0.0238975
556.0,32.855866666666664,0.023906
557.0,32.86373333333333,0.023914499999999998
558.0,32.8716,0.023923
559.0,32.879466666666666,0.023931499999999998
560.0,32.88733333333333,0.02394
561.0,32.895199999999996,0.0239485
562.0,32.90306666666666,0.023957
563.0,32.91093333333333,0.0239655
564.0,32.9188,0.023974
565.0,32.92666666666666,0.0239825
566.0,32.934533333333334,0.023991
567.0,32.9424,0.0239995
568.0,32.950266666666664,0.024007999999999998
569.0,32.95813333333333,0.0240165
570.0,32.965999999999994,0.024024999999999998
571.0,32.973866666666666,0.0240335
572.0,32.98173333333333,0.024042
573.0,32.989599999999996,0.0240505
574.0,32.99746666666667,0.024059
575.0,33.00533333333333,0.0240675
576.0,33.0132,0.024076
577.0,33.02106666666666,0.0240845
578.0,33.02893333333333,0.024093
579.0,33.0368,0.024101499999999998
580.0,33.044666666666664,0.02411
581.0,33.05253333333333,0.0241185
582.0,33.0604,0.024127
583.0,33.068266666666666,0.0241355
584.0,33.07613333333333,0.024144
585.0,33.083999999999996,0.0241525
586.0,33.09186666666666,0.024161
587.0,33.09973333333333,0.0241695
588.0,33.1076,0.024177999999999998
589.0,33.11546666666666,0.0241865
590.0,33.123333333333335,0.024194999999999998
591.0,33.1312,0.0242035
592.0,33.139066666666665,0.024212
593.0,33.14693333333333,0.0242205
594.0,33.154799999999994,0.024229
595.0,33.16266666666667,0.0242375
596.0,33.17053333333333,0.024246
597.0,33.178399999999996,0.0242545
598.0,33.18626666666667,0.024263
599.0,33.19413333333333,0.024271499999999998
600.0,33.202,0.02428
601.0,33.21328333333333,0.024286166666666668
602.0,33.22456666666667,0.024292333333333332
603.0,33.23585,0.0242985
604.0,33.24713333333333,0.024304666666666665
605.0,33.25841666666666,0.024310833333333334
606.0,33.2697,0.024317
607.0,33.28098333333333,0.024323166666666667
608.0,33.29226666666666,0.02432933333333333
609.0,33.30355,0.0243355
610.0,33.31483333333333,0.024341666666666664
611.0,33.326116666666664,0.024347833333333332
612.0,33.337399999999995,0.024354
613.0,33.348683333333334,0.024360166666666665
614.0,33.359966666666665,0.024366333333333334
615.0,33.371249999999996,0.0243725
616.0,33.382533333333335,0.024378666666666667
617.0,33.393816666666666,0.02438483333333333
618.0,33.4051,0.024391
619.0,33.41638333333333,0.024397166666666664
620.0,33.42766666666667,0.024403333333333332
621.0,33.43895,0.0244095
622.0,33.45023333333333,0.024415666666666665
623.0,33.46151666666667,0.024421833333333334
624.0,33.4728,0.024428
625.0,33.48408333333333,0.024434166666666667
626.0,33.49536666666666,0.02444033333333333
627.0,33.50665,0.0244465
628.0,33.51793333333333,0.024452666666666664
629.0,33.52921666666666,0.024458833333333332
630.0,33.540499999999994,0.024465
631.0,33.55178333333333,0.024471166666666665
632.0,33.563066666666664,0.024477333333333334
633.0,33.574349999999995,0.0244835
634.0,33.585633333333334,0.024489666666666667
635.0,33.596916666666665,0.02449583333333333
636.0,33.6082,0.024502
637.0,33.61948333333333,0.024508166666666664
638.0,33.630766666666666,0.024514333333333332
639.0,33.64205,0.024520499999999997
640.0,33.65333333333333,0.024526666666666665
641.0,33.66461666666667,0.024532833333333334
642.0,33.6759,0.024539
643.0,33.68718333333333,0.024545166666666667
644.0,33.69846666666666,0.02455133333333333
645.0,33.70975,0.0245575
646.0,33.72103333333333,0.024563666666666664
647.0,33.73231666666666,0.024569833333333332
648.0,33.7436,0.024575999999999997
649.0,33.75488333333333,0.024582166666666665
650.0,33.76616666666666,0.02458833333333333
651.0,33.777449999999995,0.0245945
652.0,33.78873333333333,0.024600666666666667
653.0,33.800016666666664,0.02460683333333333
654.0,33.811299999999996,0.024613
655.0,33.822583333333334,0.024619166666666664
656.0,33.833866666666665,0.024625333333333332
657.0,33.84515,0.024631499999999997
658.0,33.85643333333333,0.024637666666666665
659.0,33.86771666666667,0.02464383333333333
660.0,33.879,0.02465
661.0,33.88548333333333,0.024656833333333333
662.0,33.89196666666666,0.024663666666666664
663.0,33.89845,0.024670499999999998
664.0,33.90493333333333,0.024677333333333332
665.0,33.91141666666667,0.024684166666666667
666.0,33.917899999999996,0.024690999999999998
667.0,33.92438333333333,0.024697833333333332
668.0,33.93086666666667,0.024704666666666666
669.0,33.937349999999995,0.024711499999999997
670.0,33.94383333333333,0.024718333333333332
671.0,33.950316666666666,0.024725166666666666
672.0,33.9568,0.024731999999999997
673.0,33.96328333333333,0.02473883333333333
674.0,33.969766666666665,0.024745666666666666
675.0,33.97625,0.024752499999999997
676.0,33.98273333333333,0.02475933333333333
677.0,33.989216666666664,0.024766166666666665
678.0,33.9957,0.024773
679.0,34.002183333333335,0.02477983333333333
680.0,34.00866666666666,0.024786666666666665
681.0,34.01515,0.0247935
682.0,34.021633333333334,0.02480033333333333
683.0,34.02811666666666,0.024807166666666665
684.0,34.0346,0.024814
685.0,34.04108333333333,0.024820833333333334
686.0,34.04756666666667,0.024827666666666665
687.0,34.05405,0.0248345
688.0,34.06053333333333,0.024841333333333333
689.0,34.06701666666667,0.024848166666666664
690.0,34.073499999999996,0.024855
691.0,34.07998333333333,0.024861833333333333
692.0,34.08646666666667,0.024868666666666664
693.0,34.09295,0.0248755
694.0,34.09943333333333,0.024882333333333333
695.0,34.105916666666666,0.024889166666666664
696.0,34.1124,0.024895999999999998
697.0,34.118883333333336,0.024902833333333332
698.0,34.125366666666665,0.024909666666666667
699.0,34.13185,0.024916499999999998
700.0,34.138333333333335,0.024923333333333332
701.0,34.144816666666664,0.024930166666666666
702.0,34.1513,0.024936999999999997
703.0,34.157783333333334,0.024943833333333332
704.0,34.16426666666667,0.024950666666666666
705.0,34.17075,0.0249575
706.0,34.177233333333334,0.02496433333333333
707.0,34.18371666666667,0.024971166666666666
708.0,34.1902,0.024978
709.0,34.19668333333333,0.02498483333333333
710.0,34.20316666666667,0.024991666666666666
711.0,34.20965,0.0249985
712.0,34.21613333333333,0.02500533333333333
713.0,34.22261666666667,0.025012166666666665
714.0,34.2291,0.025019
715.0,34.23558333333333,0.02502583333333333
716.0,34.242066666666666,0.025032666666666665
717.0,34.24855,0.0250395
718.0,34.25503333333334,0.025046333333333334
719.0,34.261516666666665,0.025053166666666665
720.0,34.268,0.02506
721.0,34.27696666666667,0.025067666666666665
722.0,34.28593333333333,0.02507533333333333
723.0,34.2949,0.025082999999999998
724.0,34.303866666666664,0.025090666666666667
725.0,34.31283333333333,0.025098333333333334
726.0,34.3218,0.025106
727.0,34.33076666666667,0.025113666666666666
728.0,34.339733333333335,0.025121333333333332
729.0,34.3487,0.025129
730.0,34.35766666666667,0.025136666666666665
731.0,34.36663333333333,0.02514433333333333
732.0,34.3756,0.025152
733.0,34.384566666666665,0.025159666666666667
734.0,34.39353333333333,0.025167333333333333
735.0,34.4025,0.025175
736.0,34.41146666666667,0.025182666666666666
737.0,34.420433333333335,0.025190333333333332
738.0,34.4294,0.025197999999999998
739.0,34.43836666666667,0.025205666666666668
740.0,34.44733333333333,0.025213333333333334
741.0,34.4563,0.025221
742.0,34.465266666666665,0.025228666666666667
743.0,34.47423333333333,0.025236333333333333
744.0,34.4832,0.025244
745.0,34.49216666666667,0.025251666666666665
746.0,34.501133333333335,0.02525933333333333
747.0,34.5101,0.025267
748.0,34.51906666666667,0.025274666666666668
749.0,34.52803333333333,0.025282333333333334
750.0,34.537,0.02529
751.0,34.545966666666665,0.025297666666666666
752.0,34.55493333333333,0.025305333333333332
753.0,34.5639,0.025313
754.0,34.57286666666666,0.02532066666666667
755.0,34.581833333333336,0.025328333333333335
756.0,34.5908,0.025336
757.0,34.59976666666667,0.025343666666666667
758.0,34.60873333333333,0.025351333333333333
759.0,34.6177,0.025359
760.0,34.626666666666665,0.025366666666666666
761.0,34.63563333333333,0.025374333333333332
762.0,34.6446,0.025382000000000002
763.0,34.65356666666666,0.025389666666666668
764.0,34.66253333333333,0.025397333333333334
765.0,34.6715,0.025405
766.0,34.68046666666667,0.025412666666666667
767.0,34.689433333333334,0.025420333333333333
768.0,34.6984,0.025428
769.0,34.707366666666665,0.02543566666666667
770.0,34.71633333333333,0.025443333333333335
771.0,34.7253,0.025451
772.0,34.73426666666666,0.025458666666666668
773.0,34.74323333333333,0.025466333333333334
774.0,34.752199999999995,0.025474
775.0,34.76116666666667,0.025481666666666666
776.0,34.770133333333334,0.025489333333333333
777.0,34.7791,0.025497000000000002
778.0,34.788066666666666,0.02550466666666667
779.0,34.79703333333333,0.025512333333333335
780.0,34.806,0.02552
781.0,34.8116,0.02553
782.0,34.8172,0.02554
783.0,34.8228,0.02555
784.0,34.828399999999995,0.02556
785.0,34.833999999999996,0.025570000000000002
786.0,34.8396,0.025580000000000002
787.0,34.8452,0.02559
788.0,34.8508,0.0256
789.0,34.8564,0.02561
790.0,34.861999999999995,0.02562
791.0,34.867599999999996,0.02563
792.0,34.8732,0.02564
793.0,34.8788,0.025650000000000003
794.0,34.8844,0.025660000000000002
795.0,34.89,0.025670000000000002
796.0,34.8956,0.02568
797.0,34.901199999999996,0.02569
798.0,34.9068,0.0257
799.0,34.9124,0.02571
800.0,34.918,0.02572
801.0,34.9236,0.02573
802.0,34.9292,0.025740000000000002
803.0,34.9348,0.025750000000000002
804.0,34.9404,0.02576
805.0,34.946,0.02577
806.0,34.9516,0.02578
807.0,34.9572,0.02579
808.0,34.9628,0.0258
809.0,34.9684,0.02581
810.0,34.974000000000004,0.025820000000000003
811.0,34.9796,0.025830000000000002
812.0,34.9852,0.025840000000000002
813.0,34.9908,0.02585
814.0,34.9964,0.02586
815.0,35.002,0.02587
816.0,35.007600000000004,0.02588
817.0,35.0132,0.02589
818.0,35.0188,0.0259
819.0,35.0244,0.025910000000000002
820.0,35.03,0.025920000000000002
821.0,35.0356,0.02593
822.0,35.0412,0.02594
823.0,35.046800000000005,0.02595
824.0,35.0524,0.02596
825.0,35.058,0.02597
826.0,35.0636,0.02598
827.0,35.0692,0.02599
828.0,35.0748,0.026000000000000002
829.0,35.080400000000004,0.026010000000000002
830.0,35.086,0.02602
831.0,35.0916,0.02603
832.0,35.0972,0.02604
833.0,35.1028,0.02605
834.0,35.1084,0.02606
835.0,35.114000000000004,0.02607
836.0,35.119600000000005,0.026080000000000002
837.0,35.1252,0.026090000000000002
838.0,35.1308,0.0261
839.0,35.1364,0.02611
840.0,35.142,0.02612
