time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
952.0,2.5499999991415327,2.5499999981826904,2.5499999923939507,2.5499999643458113,2.549999833836908,2.549999255989365,2.5499968474053234,2.549987465663739,2.5499534972159177,2.549839637382531,2.5494874709073314,2.5484850509361165,2.5458647210654246,2.5395839465945667,2.5257894505871903,2.4980202800875597,2.4467008861420694,2.359352278401756,2.2217113012361445,2.019286626334908,1.7376240465638426
953.0,2.549999999124902,2.5499999981494184,2.549999992266468,2.549999963800949,2.5499998315339947,2.5499992466966783,2.549996812172859,2.5499873413276126,2.5499530914606874,2.5498384191408725,2.549484120097547,2.5484766392850395,2.545845513821637,2.53954417243253,2.5257149477490812,2.497894311254144,2.4465089704181446,2.3590892876976666,2.22138801158052,2.018931935084596,1.7372801346653688
954.0,2.5499999991079787,2.5499999981155965,2.5499999921370757,2.549999963248741,2.5499998292033346,2.5499992373048443,2.5499967766110885,2.5499872159864063,2.5499526829121297,2.54983719389046,2.5494807535553585,2.5484681963827795,2.5458262524312785,2.539504318226231,2.525640347965328,2.4977682554306155,2.4463170193139567,2.358826353595951,2.221064885784018,2.018577487046886,1.7369364770797375
955.0,2.5499999990907587,2.549999998081216,2.54999999200575,2.5499999626891023,2.5499998268446475,2.5499992278129997,2.549996740717591,2.5499870896340338,2.549952271556791,2.549835961605767,2.5494773712409495,2.5484597221829874,2.5458069368675686,2.5394643840118167,2.525565651372742,2.4976421128447837,2.446125033061958,2.3585634761953544,2.22074192370265,2.0182232818473542,1.7365930734251813
956.0,2.549999999073237,2.5499999980462698,2.549999991872465,2.549999962121948,2.5499998244576507,2.5499992182202753,2.5499967044899345,2.549986962264388,2.549951857381183,2.5498347222612447,2.549473973114534,2.548451216639445,2.5457875671039676,2.53942436982567,2.5254908581081277,2.497515883724023,2.4459330118938403,2.358300655593994,2.2204191251924437,2.017869319112833,1.7362499233197197
957.0,2.549999999055409,2.549999998010749,2.549999991737196,2.5499999615471904,2.5499998220420594,2.5499992085257976,2.549996667925673,2.5499868338713383,2.5499514403717893,2.5498334758313255,2.549470559136357,2.5484426797060675,2.5457681431141763,2.539384275704405,2.5254159683082893,2.497389568295277,2.4457409560405416,2.358037891889362,2.2200964901094435,2.017515598471397,1.7359070263812126
958.0,2.549999999037271,2.549999997974645,2.5499999915999165,2.549999960964743,2.549999819597586,2.549999198728687,2.5499966310223505,2.5499867044487354,2.549951020515064,2.5498322222904215,2.549467129266693,2.5484341113368987,2.545748664872133,2.539344101684873,2.5253409821100252,2.4972631667850576,2.4455488657322473,2.3577751851783275,2.2197740183097134,2.0171621195523546,1.7355643822274116
959.0,2.5499999990188154,2.54999999793795,2.5499999914606,2.5499999603745165,2.54999981712394,2.549999188828057,2.5499965937774967,2.5499865739904046,2.54995059779743,2.5498309616129213,2.5494636834658477,2.548425511486117,2.5457291323520144,2.539303847804153,2.5252658996501256,2.4971366794194436,2.4453567411983883,2.35751253555714,2.2194517096493422,2.016808881986237,1.7352219904760084
960.0,2.5499999990000393,2.5499999979006547,2.549999991319221,2.549999959776422,2.5499998146208314,2.5499991788230174,2.549996556188628,2.5499864424901504,2.5499501722052815,2.5498296937731992,2.5494602216941566,2.5484168801080322,2.545709545528236,2.539263514099557,2.5251907210653757,2.497010106424085,2.445164582667652,2.3572499431214315,2.2191295639844446,2.016455885404784,1.7348798507446792
961.0,2.5499999989809377,2.5499999978627503,2.549999991175752,2.54999995917037,2.549999812087965,2.549999168712671,2.549996518253252,2.5499863099417537,2.549949743724983,2.5498284187456037,2.5494567439119873,2.548408217157087,2.5456899043754504,2.5392231006086257,2.5251154464925496,2.4968834480242013,2.4449723903679748,2.356987407966221,2.2188075811711645,2.0161031294409826,1.7345379668393044
