time_s,mean_moisture,cumulative_loss_factor,effective_balance_residual
1822.0,2.279800128820595,5.4040074880928346e-05,5.032252370362755e-07
1823.0,2.2796711508421517,5.406587047674591e-05,5.032258818538082e-07
1824.0,2.279542184587832,5.409166372773863e-05,5.032265257831625e-07
1825.0,2.2794132300499177,5.4117454635450025e-05,5.032271683802492e-07
1826.0,2.2792842872206984,5.414324320142233e-05,5.032278105332466e-07
1827.0,2.279155356092471,5.416902942719651e-05,5.032284540185117e-07
1828.0,2.2790264366575337,5.419481331431222e-05,5.032290952833307e-07
1829.0,2.278897528908195,5.422059486430783e-05,5.032297347717929e-07
1830.0,2.278768632836771,5.424637407872037e-05,5.032303733720767e-07
1831.0,2.278639748435588,5.4272150959085555e-05,5.032310164132525e-07
1832.0,2.278510875696963,5.429792550693779e-05,5.032316527930902e-07
1833.0,2.2783820146132387,5.4323697723810126e-05,5.032322900611064e-07
1834.0,2.278253165176756,5.434946761123428e-05,5.032329282173009e-07
1835.0,2.2781243273798637,5.437523517074062e-05,5.032335672616739e-07
1836.0,2.2779955012149116,5.440100040385818e-05,5.032342031974224e-07
1837.0,2.277866686674267,5.4426763312114617e-05,5.032348409095277e-07
1838.0,2.2777378837502926,5.445252389703625e-05,5.032354746248302e-07
1839.0,2.277609092435371,5.4478282160148025e-05,5.032361114487571e-07
1840.0,2.2774803127218752,5.450403810297355e-05,5.032367433877027e-07
1841.0,2.277351544602202,5.4529791727035046e-05,5.032373775470944e-07
1842.0,2.277222788068744,5.455554303385339e-05,5.032380117064861e-07
1843.0,2.277094043113902,5.458129202494807e-05,5.032386432013425e-07
1844.0,2.2769653097300884,5.4607038701837234e-05,5.032392751402881e-07
1845.0,2.2768365879097185,5.4632783066037646e-05,5.032399075233229e-07
1846.0,2.2767078776452134,5.4658525119064704e-05,5.032405376859117e-07
1847.0,2.276579178929006,5.468426486243244e-05,5.032411691807681e-07
1848.0,2.27645049175353,5.471000229765352e-05,5.032417980110893e-07
1849.0,2.27632181611123,5.4735737426239223e-05,5.032424268414104e-07
1850.0,2.2761931519945575,5.476147024969948e-05,5.032430556717316e-07
1851.0,2.2760644993959716,5.478720076954283e-05,5.032436862784095e-07
1852.0,2.27593585830793,5.481292898727647e-05,5.032443128882846e-07
1853.0,2.2758072287229076,5.4838654904406204e-05,5.032449394981597e-07
1854.0,2.275678610633383,5.4864378522436474e-05,5.032455661080348e-07
1855.0,2.2755500040318384,5.4890099842870345e-05,5.032461909415531e-07
1856.0,2.2754214089107685,5.4915818867209526e-05,5.032468166632498e-07
1857.0,2.275292825262671,5.4941535596954355e-05,5.032474432731249e-07
1858.0,2.2751642530800464,5.49672500336038e-05,5.032480658861971e-07
1859.0,2.2750356923554116,5.499296217865546e-05,5.032486893874477e-07
1860.0,2.2749071430813124,5.501867203360571e-05,5.032493413104078e-07
1861.0,2.274778605383724,5.504437957319076e-05,5.03249678374118e-07
1862.0,2.274650079391203,5.507008477174728e-05,5.032499399426626e-07
1863.0,2.2745215651005566,5.5095787629925196e-05,5.032501833035496e-07
1864.0,2.2743930625088487,5.5121488148313956e-05,5.032504191149201e-07
1865.0,2.274264571613235,5.514718632748303e-05,5.032506509294876e-07
1866.0,2.274136092410922,5.517288216799206e-05,5.032508827440552e-07
1867.0,2.274007624899134,5.519857567039537e-05,5.032511114499982e-07
1868.0,2.273879169075117,5.5224266835244464e-05,5.032513397118521e-07
1869.0,2.273750724936123,5.52499556630894e-05,5.032515706382412e-07
1870.0,2.2736222924794,5.527564215447974e-05,5.032517989000951e-07
1871.0,2.2734938717022026,5.530132630996516e-05,5.032520289383058e-07
1872.0,2.273365462601778,5.532700813009587e-05,5.032522576442489e-07
1873.0,2.273237065175372,5.535268761542289e-05,5.032524872383703e-07
1874.0,2.273108679420226,5.537836476649824e-05,5.032527177206703e-07
1875.0,2.2729803053335718,5.540403958387514e-05,5.032529482029702e-07
1876.0,2.2728519429126397,5.542971206810806e-05,5.032531804616269e-07
1877.0,2.2727235921546476,5.5455382219752813e-05,5.032534122761945e-07
1878.0,2.272595253056811,5.548105003936661e-05,5.032536445348512e-07
1879.0,2.2724669256163343,5.550671552750808e-05,5.032538754612403e-07
1880.0,2.2723386098304235,5.5532378684737284e-05,5.032541103844324e-07
1881.0,2.2722103056962673,5.555803951161576e-05,5.03254346639892e-07
1882.0,2.2720820132110484,5.558369800870648e-05,5.03254581563084e-07
1883.0,2.2719537323719456,5.5609354176573875e-05,5.032548155980976e-07
1884.0,2.271825463176133,5.563500801578382e-05,5.032550527417357e-07
1885.0,2.271697205620772,5.5660659526903616e-05,5.032552907735521e-07
1886.0,2.2715689597030173,5.568630871050197e-05,5.032555279171902e-07
1887.0,2.2714407254200215,5.5711955567148984e-05,5.032557672812743e-07
1888.0,2.2713125027689243,5.5737600097416155e-05,5.0325600575718e-07
1889.0,2.27118429174686,5.5763242301876325e-05,5.032562420126396e-07
1890.0,2.271056092350964,5.5788882181103675e-05,5.032564831530806e-07
1891.0,2.2709279045783544,5.5814519735673706e-05,5.032567234053431e-07
1892.0,2.2707997284261485,5.5840154966163214e-05,5.032569654339625e-07
1893.0,2.2706715638914536,5.586578787315026e-05,5.03257205686225e-07
1894.0,2.2705434109713774,5.5891418457214156e-05,5.032574486030228e-07
1895.0,2.270415269663012,5.591704671893544e-05,5.03257690187553e-07
1896.0,2.2702871399634517,5.5942672658895856e-05,5.032579317720831e-07
1897.0,2.2701590218697842,5.596829627767833e-05,5.032581764652377e-07
1898.0,2.2700309153790843,5.599391757586695e-05,5.032584198261247e-07
1899.0,2.26990282048843,5.6019536554046934e-05,5.032586654074578e-07
1900.0,2.269774737194884,5.604515321280463e-05,5.032589078801664e-07
1901.0,2.269646665495517,5.607076755272746e-05,5.032591552378562e-07
1902.0,2.2695186053873795,5.6096379574403944e-05,5.032593999310109e-07
1903.0,2.2693905568675286,5.612198927842364e-05,5.032596472887008e-07
1904.0,2.2692625199330068,5.6147596665377137e-05,5.032598928700338e-07
1905.0,2.269134494580859,5.6173201735856047e-05,5.032601397836345e-07
1906.0,2.269006480808122,5.6198804490452973e-05,5.032603871413244e-07
1907.0,2.268878478611828,5.6224404929761484e-05,5.032606358312819e-07
1908.0,2.268750487989003,5.625000305437611e-05,5.032608840771502e-07
1909.0,2.2686225089366685,5.6275598864892307e-05,5.032611305466617e-07
1910.0,2.268494541451846,5.6301192361906455e-05,5.0326137879253e-07
1911.0,2.2683665855315516,5.632678354601584e-05,5.032616314792904e-07
