time_s,time_h,D_center_m2_s,D_half_radius_m2_s,D_surface_m2_s
178320.0,49.53333333333333,9.585273501368326e-10,7.798258702332305e-10,3.582467243022486e-12
178380.0,49.55,9.581323679092436e-10,7.794986295805732e-10,3.581194863611021e-12
178440.0,49.56666666666667,9.577376962125833e-10,7.791716498737956e-10,3.5799241806734116e-12
178500.0,49.583333333333336,9.573433346928273e-10,7.788449308114922e-10,3.5786551910767723e-12
178560.0,49.6,9.569492829885136e-10,7.785184720862043e-10,3.5773878916680023e-12
178620.0,49.61666666666667,9.565555407438951e-10,7.781922733951634e-10,3.5761222793251538e-12
178680.0,49.63333333333333,9.561621076041833e-10,7.778663344364151e-10,3.5748583509321096e-12
178740.0,49.65,9.55768983214854e-10,7.775406549082477e-10,3.5735961033793573e-12
178800.0,49.666666666666664,9.553761672219755e-10,7.772152345094472e-10,3.5723355335647544e-12
178860.0,49.68333333333333,9.549836594067321e-10,7.768900730499656e-10,3.5710766388358675e-12
178920.0,49.7,9.54591459132879e-10,7.765651699964596e-10,3.5698194151551176e-12
178980.0,49.71666666666667,9.541995662028088e-10,7.76240525176322e-10,3.5685638599851493e-12
179040.0,49.733333333333334,9.538079802615822e-10,7.759161382875969e-10,3.567309970230318e-12
179100.0,49.75,9.53416700960449e-10,7.755920090334247e-10,3.5660577428304134e-12
179160.0,49.766666666666666,9.530257279433297e-10,7.752681371109785e-10,3.5648071747053113e-12
179220.0,49.78333333333333,9.526350608597664e-10,7.749445222220497e-10,3.563558262805444e-12
179280.0,49.8,9.522446993602493e-10,7.74621164069232e-10,3.5623110040869364e-12
179340.0,49.81666666666667,9.518546430955325e-10,7.742980623553565e-10,3.561065395512194e-12
179400.0,49.833333333333336,9.514648917169468e-10,7.739752167837452e-10,3.559821434050927e-12
179460.0,49.85,9.510754450101705e-10,7.736526271682412e-10,3.5585791171178402e-12
179520.0,49.86666666666667,9.506863023459283e-10,7.73330292981459e-10,3.5573384407567504e-12
179580.0,49.88333333333333,9.50297463530778e-10,7.7300821405441e-10,3.5560994024953004e-12
179640.0,49.9,9.499089282150734e-10,7.726863900896928e-10,3.5548619993093692e-12
179700.0,49.916666666666664,9.495206960552345e-10,7.723648207949065e-10,3.5536262282093456e-12
179760.0,49.93333333333333,9.49132766700469e-10,7.720435058717721e-10,3.5523920861860942e-12
179820.0,49.95,9.487451398055132e-10,7.717224450265591e-10,3.551159570260466e-12
179880.0,49.96666666666667,9.483578150260402e-10,7.71401637966321e-10,3.5499286774586413e-12
179940.0,49.983333333333334,9.479707920179867e-10,7.710810843983528e-10,3.5486994048131803e-12
180000.0,50.0,9.475840704378433e-10,7.707607840304248e-10,3.5474717493635154e-12
180060.0,50.016666666666666,9.471976500757007e-10,7.704407366801925e-10,3.5462457085895563e-12
180120.0,50.03333333333333,9.468115303091384e-10,7.701209418261354e-10,3.545021278614436e-12
180180.0,50.05,9.464257109487937e-10,7.698013993028044e-10,3.5437984570288273e-12
180240.0,50.06666666666667,9.460401916502172e-10,7.694821088172741e-10,3.542577240878227e-12
180300.0,50.083333333333336,9.456549720749083e-10,7.691630700815158e-10,3.5413576272416518e-12
180360.0,50.1,9.45270051877266e-10,7.688442828017204e-10,3.5401396131790665e-12
180420.0,50.11666666666667,9.448854307171227e-10,7.685257466885438e-10,3.5389231957795903e-12
180480.0,50.13333333333333,9.445011082552434e-10,7.682074614534276e-10,3.5377083721377242e-12
180540.0,50.15,9.441170841526465e-10,7.678894268080393e-10,3.5364951393540887e-12
180600.0,50.166666666666664,9.437333580708972e-10,7.67571642464522e-10,3.535283494535986e-12
180660.0,50.18333333333333,9.433499298044085e-10,7.672541082442672e-10,3.5340734352266585e-12
180720.0,50.2,9.429667987374994e-10,7.669368236315167e-10,3.5328649576264946e-12
180780.0,50.21666666666667,9.42583964684813e-10,7.666197884642994e-10,3.531658059387398e-12
180840.0,50.233333333333334,9.422014273069984e-10,7.663030024540754e-10,3.530452737622529e-12
180900.0,50.25,9.41819186270543e-10,7.659864653171144e-10,3.5292489894776547e-12
180960.0,50.266666666666666,9.414372412349398e-10,7.656701767639876e-10,3.528046812079831e-12
181020.0,50.28333333333333,9.41055591865029e-10,7.65354136509666e-10,3.526846202584745e-12
181080.0,50.3,9.40674237826575e-10,7.650383442698906e-10,3.5256471581532854e-12
181140.0,50.31666666666667,9.402931787855828e-10,7.64722799760627e-10,3.5244496759521707e-12
