time_s,mean_moisture,max_moisture,center_gap,monotonicity,effective_balance_residual
41580.0,0.352401489835767,0.47718836842980555,0.0,-2.07629907711393e-09,2.1126667526516485e-07
41640.0,0.35179115361884744,0.4763722540766172,0.0,-2.072207072600918e-09,2.1168827357698206e-07
41700.0,0.35118329814188515,0.47555906222955735,0.0,-2.0681262813404544e-09,2.1210867329202188e-07
41760.0,0.3505779127446705,0.47474878093966005,0.0,-2.0640569253771446e-09,2.1252804849325457e-07
41820.0,0.349974986798616,0.4739413983045656,0.0,-2.0599985606217786e-09,2.1294623797629697e-07
41880.0,0.34937450970710177,0.4731369024686154,0.0,-2.0559516866747174e-09,2.1336314981468263e-07
41940.0,0.3487764709054686,0.4723352816226552,0.0,-2.0519156374021463e-09,2.1377881642692387e-07
42000.0,0.34818085986079,0.4715365240038298,0.0,-2.0478908568932752e-09,2.592013044200314e-07
42060.0,0.3475876660835941,0.4707406179066417,0.0,-2.043877123103499e-09,2.2136758470736595e-07
42120.0,0.34699687907673316,0.4699475516335638,0.0,-2.0398743250105156e-09,2.2174558056420324e-07
42180.0,0.3464084884225089,0.4691573135805897,0.0,-2.035882795681232e-09,2.2212674188892834e-07
42240.0,0.3458224837093844,0.4683698921623216,0.0,-2.0319021465375897e-09,2.2250593056938328e-07
42300.0,0.3452388545633216,0.46758527584624004,0.0,-2.0279324886018912e-09,2.2288402545811437e-07
42360.0,0.34465759064104595,0.46680345314419236,0.0,-2.0239737663629853e-09,2.2326121262850052e-07
42420.0,0.34407868163032523,0.46602441261307476,0.0,-2.0200258687985695e-09,2.2363732510299883e-07
42480.0,0.34350211725035146,0.46524814285495053,0.0,-2.0160889069309462e-09,2.2401227317558892e-07
42540.0,0.3429278872517411,0.46447463251684834,0.0,-2.0121626587155106e-09,2.243860852679802e-07
42600.0,0.342355981416329,0.46370387029056737,0.0,-2.0082473461968675e-09,2.6118195739499583e-07
42660.0,0.3417863895668882,0.4629358449228091,0.0,-2.004342747330412e-09,2.3269753191001996e-07
42720.0,0.34121910152314433,0.4621705451688687,0.0,-2.0004488621161443e-09,2.3302913954026394e-07
42780.0,0.3406541071807502,0.4614079598752966,0.0,-1.996565912598669e-09,2.3336515742045094e-07
42840.0,0.3400913964397185,0.46064807790443685,0.0,-1.9926932326441715e-09,2.3369914758930577e-07
42900.0,0.3395309592385842,0.45989088817091983,0.0,-1.988831377364164e-09,2.3403215188011472e-07
42960.0,0.3389727855460765,0.4591363796321794,0.0,-1.9849802357363444e-09,2.3436437057711146e-07
43020.0,0.3384168653615399,0.4583845412891812,0.0,-1.981139752249561e-09,2.3469563092959334e-07
43080.0,0.33786318871535787,0.45763536218657264,0.0,-1.977309704859209e-09,2.3502584634016443e-07
43140.0,0.33731174566895494,0.45688883141247183,0.0,-1.97349014907644e-09,2.3535504256599893e-07
43200.0,0.33676252631461423,0.45614493809828527,0.0,-1.969681195923556e-09,2.6310231326931444e-07
43260.0,0.336215520783106,0.4554036714278813,0.0,-1.9658824568224986e-09,2.4444679835866623e-07
43320.0,0.3356707192070697,0.4546650205944043,0.0,-1.96209448688478e-09,2.447287679174792e-07
43380.0,0.33512811179182134,0.4539289748801721,0.0,-1.9583168420211905e-09,2.450165341727484e-07
43440.0,0.33458768874507683,0.453195523580329,0.0,-1.95454952223173e-09,2.4530223052821043e-07
43500.0,0.3340494403143749,0.45246465604182595,0.0,-1.9507925275163984e-09,2.4558705158383987e-07
43560.0,0.33351335677703464,0.4517363616529083,0.0,-1.9470458023640447e-09,2.4587121671970635e-07
43620.0,0.33297942844070216,0.4510106298438746,0.0,-1.9433095688192736e-09,2.46154550520572e-07
43680.0,0.3324476456438223,0.45028745008726484,0.0,-1.939583493815178e-09,2.464369677213085e-07
43740.0,0.3319179987556364,0.44956681189763836,0.0,-1.9358676328629087e-09,2.4671849274682245e-07
43800.0,0.33139047817602396,0.4488487048314038,0.0,-1.9321618749401637e-09,2.649629919915242e-07
43860.0,0.3308650743409646,0.44813311849500326,0.0,-1.9284664420915476e-09,2.5664802638658557e-07
43920.0,0.33034177769344486,0.44742004250488654,0.0,-1.9247811122724556e-09,2.568768069366456e-07
43980.0,0.3298205787462053,0.44670946656480287,0.0,-1.9211060520163414e-09,2.5711292828134447e-07
44040.0,0.3293014680122097,0.4460013803881791,0.0,-1.9174408727451464e-09,2.5734695041634836e-07
44100.0,0.3287844360458095,0.4452957737398873,0.0,-1.9137857965034755e-09,2.575802167115171e-07
44160.0,0.32826947343086504,0.444592636424638,0.0,-1.910140656757875e-09,2.578129718600053e-07
44220.0,0.3277565707813937,0.44389195828775213,0.0,-1.906505786575252e-09,2.580450324529693e-07
44280.0,0.3272457187420995,0.44319372921539496,0.0,-1.902880908399851e-09,2.5827632121888655e-07
44340.0,0.3267369079883573,0.4424979391343404,0.0,-1.899265911209369e-09,2.5850685769768234e-07
44400.0,0.32623012922608025,0.44180457801181333,0.0,-1.895660739492655e-09,2.6676433684258427e-07
44460.0,0.3257253731949593,0.44111363586265806,0.0,-1.892065615294314e-09,2.6550600651376044e-07
44520.0,0.32522263064694057,0.44042510271246943,0.0,-1.888480372080892e-09,2.6453476520416075e-07
